Section,Clause Content
Credit Wallet,"Please refer to the links provided for a clear visual
                                    distinction between shows managed directly by Central Tickets and those of
                                    third-party providers excluded from Wallet Credit eligibility."
Credit Wallet,"For first-time top-ups of £100 or more, we’re happy to
                                    offer an additional 10% in bonus credit. To qualify, members simply need to make a
                                    one-off top-up of £100 in a single transaction. This promotional credit is capped at
                                    a maximum of £10 and can be used exclusively on purchases within our platform.
                                    Please note that creating multiple or alias accounts to claim this offer more than
                                    once is strictly prohibited."
Credit Wallet,"Please note that if an account is closed and a wallet
                                    balance is refunded for any reason, any bonus credit from this offer will be
                                    forfeited, as the eligibility criteria are no longer met. This offer is a one-time
                                    benefit, available only on your initial top-up of £100 or more, so you can make the
                                    most out of your first experience with us."
Gift Voucher Credit,"Central Tickets Limited offers a gift voucher
                                    credit system that enables members to gift wallet credit to friends and family.
                                    Members have the option to purchase gift voucher credits for fellow members or
                                    non-members, which are then stored within the recipient's designated credit wallet.
                                    However, once the credit is issued, refunds are not available except in instances
                                    where a gift voucher credit remains unclaimed by a non-member. In such cases, the
                                    member who purchased the gift can request the full amount to be returned to their
                                    own credit wallet within their Central Tickets account."
Gift Voucher Credit,"Gift voucher credits can be purchased using a
                                    credit/debit card or from an existing wallet credit balance. All purchased gift
                                    credits are deposited into the recipient’s credit wallet on the specified date
                                    chosen by the gifting member. If the recipient is not a Central Tickets member, they
                                    will receive the gifting member’s personalised message, details of the gift, and an
                                    invitation to register for a free Central Tickets account to access the gift voucher
                                    credit. When gifting, please provide the full name and email address of the
                                    recipient, as well as the delivery date for the gift voucher and a personalised
                                    message. We use this information solely for the purpose of delivering your gift, and
                                    we will confirm the successful delivery via email to the member who provided the
                                    gift."
Gift Voucher Credit,"Gift voucher credits are applicable towards the
                                    cost of tickets for any events listed under the Shows tab that are directly managed by Central Tickets. It is important to note that gift
                                    voucher credits cannot be used to purchase tickets for events fulfilled by
                                    third-party companies partnered with us. For clarity, gift credits are valid for any
                                    shows directly managed by Central Tickets but are not applicable for TTG/Encore
                                        bookings , or those made via Ingresso or London
                                        Theatre Direct ."
Gift Voucher Credit,"*We have included links to assist in visually
                                    distinguishing between the shows directly managed by Central Tickets and those by
                                    third-party sites that are excluded from Gift Credit Vouchers."
Gift Voucher Credit,"Please be aware that the promotional offer of a 10% wallet credit bonus on gifts exceeding £50 is exclusively available for new transactions made with a credit or debit card (wallet credit is excluded from the offer). This promotion cannot be used in conjunction with other offers, such as the 10% extra credit for adding funds to your own wallet at Central Tickets. Members can track their history of gifts given through the wallet function within their Central Tickets account. Gifting to oneself, whether directly or via alias accounts, in order to obtain the bonus credit is not permitted and will be considered an abuse of the promotion."
Optional Charity Donations,"When you use our service we give you the option to
                                    donate 50p to charity each time you checkout. A charity donation will be made and
                                    administered by Pennies who
                                    help charities through micro-donations."
Optional Charity Donations,"The choice remains with you and there is no
                                    obligation, donations are totally optional. All funds donated via our members via
                                    Pennies are split 90% to NHS Charities Together and 10% to Pennies."
Optional Charity Donations,"If your booking needs to be refunded, or an event is
                                    cancelled by the organiser, the charity donation of 50p cannot form part of the
                                    refund in accordance with UK fundraising regulations which stipulate that charitable
                                    donations are final and binding. This applies to cash refunds, Flexi-Booking
                                    redemptions and Wallet Credit purchases."
Ticket Collection,"The member account holder is responsible for
                                    collecting any event ticket/s and must not allow any other person to collect tickets
                                    either on behalf of the member or instead of the member."
Ticket Collection,"You are required to follow specific instructions for
                                    ticket collection for each listing and booking confirmation and:

,It is important that the member reads the ticket
                                            collection information for each booking carefully and follows the
                                            instructions given. Each event has its own collection arrangements. You will
                                            be provided with details of both the time and place for collection on the
                                            event listing, booking confirmation email and ticket.
,Members must collect the allocated tickets at
                                            least 30 minutes prior to the event beginning so that last minute sales can
                                            be processed, it is essential that you arrive at the time designated in the
                                            collection instructions printed on your ticket.
,If you fail to arrive at least 30 minutes prior
                                            to the start of the event your tickets may be re-allocated by the box
                                            office, and you may lose your seats.
,At the collection point you should preferably
                                            show the Box Office staff your booking on your smartphone and, you should be
                                            prepared to show ID (such as a driver’s licence or credit card) if requested
                                            to do so.
,Print confirmation will be acceptable however,
                                            we prefer you to show sight of your ticket allocation on your phone for
                                            environmental reasons.
,If, for any reason the venue is unable to issue
                                            your event tickets for an event, please accept the decision and make contact
                                            with Central Tickets staff who will liaise with the venue on your
                                            behalf."
Non-attendance And Refunds,"Only the account holder can log-in to the site
                                    and make bookings. You must not disclose your password or allow others to use your
                                    account to log into the Central Tickets website or app and make bookings."
Non-attendance And Refunds,"If for any reason you are unable to attend an
                                    event that you have booked you should contact Central Tickets at least 3 hours
                                    before the event begins to cancel the booking so that seats can be reallocated to
                                    other members. Simply log into My Account, locate the event in Current Bookings and
                                    cancel or amend."
Non-attendance And Refunds,"If you choose to cancel tickets for an event
                                    you have booked, your booking is non-refundable unless you have purchased Flexi-tickets ."
Non-attendance And Refunds,"Please note that providing sufficient hours
                                    will ensure the account remains in good standing, but it will not entitle you to a
                                    refund unless you have booked Flexi-tickets , which have
                                    specific rules around the notice which must be given for the refund credit to
                                    apply."
Non-attendance And Refunds,"Please note that sales via our third-party
                                    partners Ingresso, TTG/Encore, and London Theatre Direct are non-refundable should
                                    you decide you are unable to attend."
Non-attendance And Refunds,"Central Tickets are given event tickets to
                                    provide an audience and, on rare occasions allocated tickets will be recalled. We do
                                    not guarantee any specific performance and cannot be held liable for your loss.
                                    However, all admin fees will be refunded should a performance be cancelled or
                                    withdrawn."
Non-attendance And Refunds,"We provide no warranty to provide alternative
                                    tickets or cover any costs incurred including travel to the event venue."
Membership Suspension And Cancellation,"Any infringements of these conditions may result
                                    in a temporary or permanent suspension from Central Tickets. Management reserves the
                                    right to refuse or suspend membership at any time."
Membership Suspension And Cancellation,"Membership will be withdrawn, and your account
                                    permanently closed where a new member cancels any one of their first three
                                    bookings."
Membership Suspension And Cancellation,"You agree not to leave any negative reviews
                                    online where suspension or cancellation action is taken as a result of these rules
                                    not being followed. You also agree to refrain from mentioning any shows or venues
                                    seen on Central Tickets in any review platforms."
Prohibited Membership Liability,"Media or Journalist individuals who are found to
                                    be a member or who attempt to secure membership of Central Tickets whether found to
                                    have written any editorial of any kind shall have their membership withdrawn
                                    immediately upon discovery and shall be liable for costs shown described in the
                                    Breach of Terms and Conditions clause."
Prohibited Membership Liability,"All members, private and professional, are
                                    prohibited from publishing any editorial, review, or any other information included
                                    but not limited to editorial and/or reviews to be published on behalf of media
                                    outlets, on social media, in newspapers/magazines/blogs/radio this list is not
                                    exhaustive."
Prohibited Membership Liability,"Any member of any media profession agrees that
                                    they are private members and expressly agree not to exploit any media coverage
                                    whatsoever, howsoever by becoming a member of Central Tickets."
Prohibited Membership Liability,"Any member found to be in breach of these clauses
                                    shall be liable to refund Central Tickets for the full value of any tickets issued
                                    to their benefit at the face value of the ticket/s acquired and used."
Prohibited Membership Liability,"In the case of economic loss experienced by
                                    either Central Tickets or any event production company as a result of any breach of
                                    these clauses, Central Tickets may bring either a direct action or third-party
                                    action against any member found to be in breach."
Breach Of Terms And Conditions,"Any member found to be in breach of any term
                                    herein shall be liable to compensate Central Tickets Limited for all damages caused
                                    as a result of the breach, including indirect or consequential damages."
Breach Of Terms And Conditions,"At Central Tickets we believe in treating
                                    people fairly. If, for whatever reason, a member is unable to adhere to the terms
                                    and conditions by way of a minor breach, we will investigate the situation and
                                    decide an appropriate action, advise any corrective measures that we decide, and
                                    extend the member the opportunity to remedy the minor breach."
Privacy,"Our Privacy Policy explains how we collect, manage, process,
                                    secure, and store your private information and is included under the scope of this
                                    Agreement. You can access the Privacy Policy here ."
Limitation Of Liability,"You expressly understand and agree, save for
                                    personal injury, that any claim against us shall be limited to the amount you paid,
                                    if any, for use of the service offered and engaged. Central Tickets will not be
                                    liable for any direct, indirect, incidental, consequential, or exemplary loss or
                                    damages which may be incurred by you because of any changes, cancellation, loss of
                                    access, or downtime to the full extent that applicable limitation of liability laws
                                    apply."
Limitation Of Liability,"Central Tickets membership is available for those
                                    aged 18 or above and is subject to approval."
Limitation Of Liability,"Central Tickets reserves the right to amend its
                                    terms and conditions, fee structure, and referral scheme at any point, without
                                    notice."
Governing Law,"You agree that the statutes and laws of England and
                                    Wales shall apply to all matters relating to the services provided by Central
                                    Tickets."
Changes To This Agreement,"We reserve the right to make changes to our terms
                                    and conditions from time to time without notice. You acknowledge and agree that it
                                    is your responsibility to review our Terms periodically. Your continued use of our
                                    services after such modifications will constitute acknowledgment and agreement of
                                    the modified Terms."
Changes To This Agreement,"BY ACCEPTING CENTRAL TICKETS’ OFFER OF MEMBERSHIP
                                        AND THE BENEFITS CONFERRED THROUGH MEMBERSHIP YOU AGREE TO ABIDE BY THESE TERMS
                                        AND CONDITIONS."
